Dengue
1663
1876
2053
1858
1550
1661
1915
1937
1885
1920
1842
1786
1753
1804
1902
2020
1894
1825
1860
2020
2250
2300
2233
2112
2173
1634
1968
2056
1994
1878
1899
1899
1672
1420
1171
1223
1298
1050
1193
1194
1141
1012
1101
1159
1015
993
961
832
950
985
1050
1008
1034
1151
1153
1072
1066
1200
1172
1224
1271
1153
1079
1083
1076
1135
1048
1248
1183
1037
872
1290
1548
1350
1658
1548
1731
2053
1884
1872
1999
2130
2176
2117
1931
1583
1583
1627
1263
1272
1312
1242
1729
1502
1597
1720
1727
1869
2033
2079
2606
2324
2454
2549
2587
3202
3330
3127
3223
2502
3059
2884
2631
2787
2569
2321
2063
1795
1725
1638
1622
1684
1858
2147
2025
2162
1583
2295
2796
2806
3170
3359
3406
3557
3238
3378
2741
2945
2721
2408
2311
2529
2369
2181
2012
1914
1946
1793
1946
2400
2197
2582
2459
2794
2630
2694
2838
3239
3387
3128
2770
3111
2717
2604
2541
2523
2219
1874
1287
1170
1121
1172
1301
1395
1415
1494
1782
1625
1871
1927
1760
2120
2116
2138
2072
1898
1781
1803
1898
1718
1658
1479
1491
1361
1292
1207
1107
1180
1123
1040
999
936
894
824
873
795
771
1459
717
681
738
586
607
548
577
584
533
507
482
421
436
440
456
496
461
445
424
458
503
529
559
666
642
585
634
511
476
492
508
420
410
356
331
394
400
410
463
490
471
461
399
394
480
476
490
502
540
572
633
571
712
717
736
783
625
711
666
608
671
543
592
760
888
945
997
967
1021
709
1420
1074
1352
1387
1311
1494
1495
1560
1676
1495
1689
1524
1394
1390
1419
1373
1247
1238
1363
1533
1460
1474
1477
1614
1460
1693
1715
1593
